id,transaction_per_day,age,weight,height,prosperity_level
7120,22,86,79.58 kg,171.68 cm,High
7121,23,41,67.96 kg,165.37 cm,Average
7122,20,54,66.35 kg,171.62 cm,High
7123,23,50,58.08 kg,155.27 cm,Average
7124,22,67,55.47 kg,152.42 cm,Average
7125,36,39,58.22 kg,168.46 cm,Average
7126,32,20,68.67 kg,177.23 cm,Average
7127,27,49,56.32 kg,163.55 cm,Average
7128,31,34,78.8 kg,168.95 cm,Low
7129,25,56,67.97 kg,159.11 cm,High
7130,43,54,74.91 kg,155.53 cm,Low
7131,21,84,53.41 kg,167.22 cm,High
7132,19,34,50.62 kg,154.24 cm,Low
7133,24,68,53.07 kg,169.45 cm,Average
7134,17,27,60.47 kg,167.21 cm,Average
7135,25,92,54.34 kg,175.71 cm,Average
7136,25,57,66.35 kg,151.04 cm,Low
7137,35,24,61.11 kg,158.43 cm,Average
7138,37,24,69.32 kg,165.31 cm,Low
7139,23,59,76.77 kg,175.36 cm,High
7140,21,72,68.76 kg,178.13 cm,High
7141,20,38,55.88 kg,177.71 cm,Average
7142,16,77,54.49 kg,152.41 cm,High
7143,20,77,53.78 kg,161.74 cm,High
7144,24,70,75.11 kg,152.14 cm,Average
7145,23,29,68.93 kg,160.82 cm,Average
7146,22,71,54.79 kg,161.74 cm,Average
7147,15,75,70.85 kg,155.12 cm,High
7148,37,52,58.51 kg,159.37 cm,Average
7149,48,58,50.9 kg,179.79 cm,Average
7150,28,36,59.46 kg,154.16 cm,Average
7151,15,91,76.73 kg,164.08 cm,High
7152,26,80,78.33 kg,159.09 cm,Average
7153,27,83,78.07 kg,164.62 cm,Average
7154,18,90,64.9 kg,171.82 cm,High
7155,34,22,54.07 kg,170.16 cm,Average
7156,16,70,72.71 kg,152.7 cm,Average
7157,15,96,63.86 kg,168.82 cm,High
7158,26,47,57.83 kg,175.56 cm,Average
7159,18,88,56.01 kg,157.73 cm,High
7160,24,33,61.96 kg,176.52 cm,Average
7161,,47,77.44 kg,164.09 cm,Average
7162,17,56,63.49 kg,163.32 cm,Average
7163,18,66,78.22 kg,153.56 cm,High
7164,31,26,63.6 kg,151.31 cm,Average
7165,23,45,79.43 kg,166.32 cm,Average
7166,28,36,65.17 kg,150.11 cm,Low
7167,44,42,79.54 kg,174.93 cm,Low
7168,26,26,51.52 kg,174.7 cm,Low
7169,45,39,64.83 kg,157.64 cm,Average
7170,35,36,53.63 kg,154.0 cm,Average
7171,48,29,78.04 kg,165.15 cm,Low
7172,17,68,71.57 kg,178.04 cm,High
7173,33,39,57.24 kg,161.11 cm,Low
7174,29,43,70.53 kg,158.99 cm,Average
7175,17,50,73.25 kg,166.16 cm,Average
7176,16,63,50.85 kg,160.25 cm,Average
7177,22,53,64.09 kg,171.98 cm,Average
7178,19,76,67.26 kg,175.92 cm,High
7179,40,46,78.25 kg,179.37 cm,Low
7180,24,27,61.7 kg,163.81 cm,Average
7181,16,40,67.61 kg,155.27 cm,Average
7182,16,64,60.01 kg,166.06 cm,Average
7183,23,80,56.8 kg,171.14 cm,Average
7184,23,42,72.09 kg,170.68 cm,Low
7185,27,74,62.18 kg,172.06 cm,Average
7186,46,44,63.84 kg,160.47 cm,Average
7187,20,49,53.54 kg,152.34 cm,High
7188,21,85,71.68 kg,162.08 cm,Average
7189,25,89,52.03 kg,164.83 cm,Average
7190,27,26,51.91 kg,152.09 cm,Low
7191,20,77,73.94 kg,172.26 cm,Average
7192,44,40,79.75 kg,161.7 cm,
7193,41,21,68.08 kg,170.38 cm,Low
7194,17,52,56.1 kg,175.63 cm,High
7195,22,68,77.11 kg,162.07 cm,High
7196,21,,76.99 kg,176.08 cm,Average
7197,27,91,78.04 kg,174.44 cm,High
7198,21,48,71.78 kg,151.86 cm,Average
7199,30,46,60.12 kg,164.27 cm,Average
7200,24,67,67.48 kg,177.11 cm,Average
7201,27,95,56.86 kg,154.2 cm,Average
7202,47,37,68.1 kg,153.73 cm,Average
7203,23,31,73.21 kg,166.94 cm,Low
7204,35,32,53.17 kg,156.5 cm,Low
7205,20,43,59.26 kg,167.02 cm,Average
7206,31,23,68.96 kg,171.16 cm,Average
7207,46,31,56.13 kg,178.13 cm,Average
7208,21,87,54.53 kg,172.52 cm,High
7209,26,48,60.01 kg,170.53 cm,High
7210,30,55,58.57 kg,159.32 cm,Average
7211,24,,52.07 kg,160.53 cm,High
7212,15,81,73.0 kg,157.16 cm,Average
7213,20,89,76.6 kg,178.29 cm,High
7214,25,49,61.78 kg,167.63 cm,High
7215,22,85,59.99 kg,167.63 cm,Average
7216,13,92,69.57 kg,156.54 cm,Average
7217,23,59,57.81 kg,169.31 cm,High
7218,21,31,78.36 kg,155.76 cm,Average
7219,33,46,53.04 kg,154.22 cm,Average
7220,16,71,73.96 kg,179.68 cm,Average
7221,14,71,66.99 kg,159.97 cm,High
7222,44,42,69.66 kg,158.3 cm,Average
7223,24,81,78.37 kg,153.18 cm,High
7224,18,61,51.7 kg,165.11 cm,Average
7225,21,85,78.23 kg,176.15 cm,High
7226,29,57,51.38 kg,155.89 cm,Low
7227,,32,66.36 kg,165.33 cm,Average
7228,34,47,64.75 kg,172.26 cm,Low
7229,31,28,68.01 kg,153.38 cm,Average
7230,44,25,78.62 kg,155.21 cm,Average
7231,34,22,72.75 kg,159.24 cm,Average
7232,42,37,51.07 kg,163.71 cm,Low
7233,20,54,54.54 kg,153.04 cm,Average
7234,20,84,53.95 kg,160.54 cm,High
7235,21,48,68.8 kg,159.96 cm,Low
7236,25,48,56.89 kg,170.18 cm,Low
7237,28,22,68.57 kg,164.45 cm,Average
7238,20,44,63.42 kg,170.23 cm,Average
7239,13,,70.7 kg,154.16 cm,Average
7240,23,31,75.11 kg,177.37 cm,Low
7241,12,52,74.55 kg,171.61 cm,High
7242,23,66,63.42 kg,151.82 cm,High
7243,27,51,72.1 kg,154.61 cm,Average
7244,26,51,70.33 kg,164.8 cm,Average
7245,30,80,57.73 kg,179.16 cm,High
7246,24,43,71.57 kg,174.92 cm,Average
7247,46,48,64.49 kg,163.8 cm,Average
7248,25,40,54.77 kg,172.94 cm,Low
7249,18,51,59.23 kg,155.64 cm,Average
7250,13,48,54.61 kg,163.93 cm,High
7251,20,77,60.06 kg,177.23 cm,Average
7252,49,30,75.38 kg,159.4 cm,Average
7253,21,51,68.89 kg,175.89 cm,Low
7254,16,89,55.7 kg,167.45 cm,Average
7255,18,71,76.84 kg,173.28 cm,High
7256,45,26,53.9 kg,155.24 cm,Low
7257,19,57,65.14 kg,179.23 cm,Average
7258,46,25,62.17 kg,165.52 cm,Low
7259,21,79,79.31 kg,167.33 cm,Average
7260,25,30,51.8 kg,157.36 cm,Average
7261,25,65,78.71 kg,151.17 cm,Average
7262,23,92,68.58 kg,175.52 cm,High
7263,31,34,52.73 kg,171.39 cm,Average
7264,26,53,56.16 kg,152.7 cm,Average
7265,28,91,52.11 kg,170.18 cm,High
7266,19,76,50.11 kg,167.12 cm,High
7267,21,27,50.33 kg,171.95 cm,Low
7268,48,44,66.0 kg,166.12 cm,Low
7269,21,46,59.49 kg,159.61 cm,Average
7270,28,35,62.19 kg,164.89 cm,Average
7271,20,32,63.52 kg,169.59 cm,Average
7272,37,38,52.95 kg,162.41 cm,Average
7273,25,39,58.59 kg,151.29 cm,Low
7274,45,29,69.42 kg,158.93 cm,Low
7275,20,60,50.52 kg,151.09 cm,Average
7276,21,59,58.56 kg,170.06 cm,Average
7277,26,66,55.46 kg,169.06 cm,Average
7278,19,83,61.9 kg,156.83 cm,High
7279,17,60,75.27 kg,178.58 cm,Average
7280,22,47,65.65 kg,164.04 cm,Average
7281,12,40,57.25 kg,170.43 cm,Average
7282,32,30,52.64 kg,170.67 cm,Average
7283,28,45,79.65 kg,163.48 cm,Low
7284,19,52,79.55 kg,169.75 cm,Average
7285,36,53,50.84 kg,174.41 cm,Low
7286,16,54,71.61 kg,164.38 cm,High
7287,38,35,53.37 kg,175.62 cm,Low
7288,24,53,56.33 kg,150.64 cm,Low
7289,16,78,75.7 kg,170.21 cm,High
7290,34,49,59.89 kg,174.11 cm,Average
7291,28,45,70.05 kg,,High
7292,17,54,76.93 kg,170.7 cm,High
7293,40,40,63.88 kg,152.99 cm,Average
7294,19,65,57.88 kg,165.94 cm,Average
7295,44,32,59.55 kg,176.92 cm,Average
7296,41,52,54.06 kg,152.42 cm,Low
7297,25,67,67.77 kg,173.58 cm,High
7298,43,36,75.41 kg,170.57 cm,Average
7299,36,49,67.76 kg,158.54 cm,Average
7300,16,88,58.42 kg,169.41 cm,Average
7301,44,17,77.48 kg,152.69 cm,Low
7302,31,41,76.93 kg,179.84 cm,Low
7303,21,46,56.65 kg,165.57 cm,Low
7304,45,34,60.27 kg,169.88 cm,Average
7305,13,87,74.38 kg,172.06 cm,Average
7306,21,52,53.48 kg,159.39 cm,High
7307,22,41,59.54 kg,179.74 cm,Average
7308,17,60,54.52 kg,155.21 cm,Average
7309,,50,79.9 kg,153.64 cm,Low
7310,25,50,57.63 kg,163.81 cm,Average
7311,18,27,72.74 kg,164.54 cm,Average
7312,19,59,55.62 kg,169.21 cm,High
7313,19,32,60.65 kg,167.13 cm,Average
7314,19,22,77.88 kg,155.9 cm,Low
7315,44,38,73.78 kg,152.35 cm,Average
7316,30,41,52.79 kg,176.2 cm,Low
7317,47,35,,166.58 cm,Average
7318,15,49,58.09 kg,174.68 cm,High
7319,18,45,52.59 kg,160.0 cm,Low
7320,40,30,77.2 kg,166.6 cm,Average
7321,23,49,53.55 kg,151.32 cm,High
7322,24,67,77.33 kg,158.89 cm,Average
7323,25,22,61.72 kg,152.88 cm,Average
7324,,45,55.61 kg,151.05 cm,Low
7325,25,54,59.12 kg,156.76 cm,High
7326,40,38,53.87 kg,151.77 cm,Average
7327,20,86,70.17 kg,178.5 cm,High
7328,28,26,79.64 kg,151.35 cm,Low
7329,28,36,79.54 kg,170.77 cm,Average
7330,19,46,61.45 kg,171.35 cm,Average
7331,35,45,55.74 kg,178.51 cm,Low
7332,16,55,57.14 kg,174.86 cm,High
7333,25,48,78.73 kg,156.44 cm,Average
7334,23,91,55.64 kg,158.57 cm,High
7335,27,49,63.79 kg,177.35 cm,Average
7336,42,49,62.75 kg,173.89 cm,Low
7337,41,34,,174.92 cm,Low
7338,33,32,50.17 kg,159.44 cm,Low
7339,18,75,73.73 kg,173.99 cm,Average
7340,22,70,70.46 kg,158.02 cm,Average
7341,29,28,61.38 kg,167.82 cm,Average
7342,18,52,68.79 kg,161.17 cm,High
7343,23,24,73.15 kg,169.16 cm,Average
7344,44,20,71.62 kg,159.59 cm,Low
7345,38,47,61.12 kg,152.08 cm,Average
7346,25,50,69.36 kg,171.98 cm,Average
7347,24,27,56.26 kg,164.26 cm,Average
7348,16,75,51.23 kg,158.6 cm,Average
7349,24,57,54.63 kg,154.23 cm,Low
7350,22,28,65.59 kg,161.72 cm,Average
7351,14,54,50.07 kg,159.87 cm,High
7352,38,42,63.72 kg,152.52 cm,Low
7353,47,47,51.08 kg,171.54 cm,Average
7354,30,47,79.61 kg,163.18 cm,Average
7355,29,41,67.37 kg,168.36 cm,Average
7356,18,54,73.16 kg,174.2 cm,Average
7357,20,49,65.71 kg,170.86 cm,Low
7358,13,61,67.69 kg,158.71 cm,Average
7359,27,72,77.65 kg,164.08 cm,Average
7360,20,66,56.67 kg,179.52 cm,High
7361,29,36,79.74 kg,179.03 cm,Average
7362,43,52,57.51 kg,164.76 cm,Low
7363,33,45,53.4 kg,173.8 cm,Average
7364,24,54,58.27 kg,169.89 cm,Low
7365,26,90,68.24 kg,178.38 cm,Average
7366,23,59,70.69 kg,173.9 cm,Average
7367,17,72,61.67 kg,178.33 cm,High
7368,37,49,71.42 kg,156.7 cm,Average
7369,17,95,63.0 kg,161.41 cm,Average
7370,38,49,59.48 kg,156.45 cm,Average
7371,24,52,67.54 kg,175.22 cm,High
7372,27,22,55.82 kg,165.51 cm,Average
7373,28,32,72.73 kg,153.29 cm,Low
7374,23,63,77.57 kg,177.96 cm,High
7375,37,20,60.23 kg,164.82 cm,Average
7376,38,35,56.44 kg,153.07 cm,Low
7377,19,79,60.22 kg,153.54 cm,Average
7378,29,38,69.45 kg,158.01 cm,Low
7379,27,40,68.79 kg,172.43 cm,Low
7380,24,28,64.75 kg,153.92 cm,Low
7381,24,50,72.86 kg,162.38 cm,Average
7382,39,36,59.83 kg,161.49 cm,Average
7383,17,54,63.1 kg,158.22 cm,Average
7384,17,89,52.21 kg,155.06 cm,Average
7385,23,80,78.32 kg,153.12 cm,Average
7386,20,57,75.8 kg,158.56 cm,Average
7387,16,93,74.44 kg,173.15 cm,Average
7388,15,93,54.55 kg,161.6 cm,Average
7389,25,42,53.79 kg,170.17 cm,Low
7390,14,67,52.7 kg,152.5 cm,High
7391,21,55,73.92 kg,164.73 cm,Average
7392,31,46,75.29 kg,171.91 cm,Average
7393,34,57,74.09 kg,174.16 cm,Average
7394,34,,75.62 kg,175.24 cm,Low
7395,29,43,57.27 kg,162.16 cm,Low
7396,36,24,50.89 kg,161.14 cm,Low
7397,19,84,61.14 kg,165.49 cm,High
7398,19,49,53.13 kg,157.66 cm,Low
7399,27,48,54.71 kg,157.89 cm,Average
7400,20,45,60.15 kg,175.78 cm,Average
7401,43,38,79.44 kg,178.11 cm,Average
7402,38,47,78.54 kg,166.99 cm,Low
7403,44,51,57.76 kg,169.3 cm,Average
7404,33,28,67.69 kg,154.02 cm,Average
7405,34,45,77.6 kg,164.4 cm,Low
7406,23,64,60.73 kg,177.13 cm,Average
7407,32,30,77.69 kg,174.41 cm,Average
7408,20,79,71.09 kg,163.12 cm,Average
7409,24,62,79.73 kg,171.96 cm,High
7410,22,71,63.96 kg,171.19 cm,Average
7411,,62,69.09 kg,150.4 cm,Average
7412,25,62,61.1 kg,174.03 cm,High
7413,31,54,63.37 kg,176.65 cm,Low
7414,20,54,70.18 kg,157.67 cm,High
7415,19,59,63.99 kg,173.93 cm,Average
7416,43,37,72.28 kg,153.72 cm,Low
7417,14,68,74.78 kg,154.38 cm,Average
7418,25,50,77.71 kg,170.4 cm,Average
7419,18,80,56.87 kg,164.14 cm,Average
7420,14,74,79.54 kg,176.15 cm,Average
7421,20,69,61.4 kg,172.81 cm,High
7422,23,90,74.54 kg,170.71 cm,High
7423,18,61,55.36 kg,175.84 cm,Average
7424,14,49,68.0 kg,171.75 cm,Average
7425,24,48,72.34 kg,177.59 cm,Low
7426,,29,64.82 kg,164.95 cm,Low
7427,24,45,70.77 kg,157.14 cm,Average
7428,41,43,53.6 kg,165.56 cm,Average
7429,22,65,61.77 kg,161.95 cm,High
7430,22,50,51.23 kg,170.41 cm,Average
7431,42,45,73.82 kg,158.08 cm,Average
7432,20,34,76.57 kg,179.54 cm,Low
7433,37,43,79.07 kg,165.47 cm,Average
7434,23,36,72.01 kg,162.82 cm,Low
7435,33,40,52.01 kg,161.19 cm,Low
7436,18,59,75.1 kg,162.41 cm,Average
7437,21,52,59.21 kg,156.9 cm,High
7438,14,53,69.42 kg,170.03 cm,High
7439,19,40,54.08 kg,157.57 cm,Average
7440,21,93,79.05 kg,171.2 cm,High
7441,22,23,52.93 kg,162.82 cm,Average
7442,21,81,74.71 kg,153.41 cm,High
7443,24,65,57.32 kg,159.24 cm,High
7444,19,70,72.82 kg,175.55 cm,High
7445,13,45,72.46 kg,162.91 cm,High
7446,14,53,77.4 kg,157.0 cm,Average
7447,31,26,59.27 kg,154.24 cm,Low
7448,34,21,51.45 kg,159.21 cm,Low
7449,27,61,51.79 kg,166.77 cm,Average
7450,18,68,63.01 kg,174.33 cm,Average
7451,16,88,62.47 kg,173.68 cm,High
7452,15,43,56.78 kg,179.54 cm,High
7453,44,26,51.17 kg,169.87 cm,Low
7454,20,69,60.03 kg,164.27 cm,Average
7455,35,36,66.59 kg,153.77 cm,Low
7456,42,35,67.67 kg,175.52 cm,Low
7457,16,25,76.73 kg,168.51 cm,Average
7458,25,60,63.05 kg,174.45 cm,High
7459,24,30,74.58 kg,179.95 cm,Average
7460,44,48,74.94 kg,163.38 cm,Average
7461,19,90,69.01 kg,170.79 cm,Average
7462,22,31,62.22 kg,174.08 cm,Low
7463,20,77,74.01 kg,171.08 cm,High
7464,46,36,72.47 kg,155.84 cm,Average
7465,44,36,75.1 kg,164.93 cm,Low
7466,26,90,52.01 kg,,High
7467,23,36,66.01 kg,175.76 cm,Average
7468,43,37,65.04 kg,165.83 cm,Low
7469,24,45,65.77 kg,172.4 cm,Average
7470,20,69,72.42 kg,161.45 cm,Average
7471,16,29,71.89 kg,157.39 cm,Average
7472,17,51,60.6 kg,151.1 cm,Low
7473,24,51,79.67 kg,174.64 cm,Low
7474,16,69,64.16 kg,177.78 cm,High
7475,19,90,55.08 kg,155.37 cm,High
7476,44,47,51.19 kg,156.5 cm,Low
7477,19,84,75.68 kg,171.27 cm,High
7478,44,33,63.52 kg,153.44 cm,Average
7479,22,32,56.99 kg,174.76 cm,Average
7480,19,66,50.24 kg,170.13 cm,Average
7481,22,27,73.66 kg,173.58 cm,Low
7482,25,60,61.1 kg,163.75 cm,High
7483,21,53,62.69 kg,165.61 cm,Average
7484,20,72,53.97 kg,164.46 cm,Average
7485,15,74,68.48 kg,159.71 cm,Average
7486,22,62,66.28 kg,163.53 cm,Average
7487,41,23,70.04 kg,168.1 cm,Average
7488,30,21,76.19 kg,151.1 cm,Low
7489,16,77,76.59 kg,178.13 cm,Average
7490,34,30,55.91 kg,178.89 cm,Average
7491,29,38,65.75 kg,157.44 cm,Average
7492,24,34,62.07 kg,161.63 cm,Low
7493,24,29,71.83 kg,178.39 cm,Average
7494,28,44,53.62 kg,156.36 cm,Low
7495,15,82,67.69 kg,173.58 cm,Average
7496,25,52,64.57 kg,170.64 cm,Low
7497,25,72,64.24 kg,163.11 cm,Average
7498,33,46,59.89 kg,169.93 cm,Average
7499,43,34,55.17 kg,157.51 cm,Low
7500,24,,67.5 kg,176.43 cm,Average
7501,31,51,50.58 kg,174.79 cm,Low
7502,22,87,60.66 kg,165.86 cm,High
7503,19,74,73.77 kg,162.98 cm,Average
7504,18,79,78.49 kg,167.64 cm,High
7505,42,,62.38 kg,152.86 cm,Average
7506,21,55,76.65 kg,152.9 cm,High
7507,20,91,75.37 kg,158.06 cm,High
7508,19,91,68.59 kg,168.24 cm,High
7509,23,72,58.96 kg,155.98 cm,High
7510,24,53,53.4 kg,174.83 cm,Average
7511,45,43,66.58 kg,163.02 cm,Low
7512,38,35,61.09 kg,157.93 cm,Average
7513,26,55,77.33 kg,165.46 cm,Low
7514,22,70,75.72 kg,175.77 cm,Average
7515,46,27,67.32 kg,162.73 cm,Average
7516,18,29,74.27 kg,175.85 cm,Average
7517,20,82,60.39 kg,175.63 cm,Average
7518,29,48,77.16 kg,175.61 cm,Low
7519,45,43,55.96 kg,170.99 cm,Low
7520,38,39,79.31 kg,150.56 cm,Average
7521,37,51,59.32 kg,164.92 cm,Low
7522,25,74,78.39 kg,157.21 cm,High
7523,37,50,68.29 kg,175.88 cm,Average
7524,20,71,76.97 kg,168.61 cm,Average
7525,16,60,69.13 kg,155.66 cm,High
7526,40,45,70.51 kg,179.84 cm,Low
7527,19,49,53.39 kg,166.07 cm,Average
7528,21,73,70.9 kg,163.67 cm,High
7529,19,88,71.05 kg,150.06 cm,High
7530,43,34,69.09 kg,164.28 cm,Average
7531,17,61,56.95 kg,167.59 cm,Average
7532,22,70,62.12 kg,160.86 cm,High
7533,30,47,72.93 kg,177.14 cm,High
7534,38,50,61.99 kg,173.75 cm,Low
7535,26,46,73.06 kg,163.7 cm,Average
7536,15,45,69.78 kg,162.96 cm,Average
7537,26,51,65.13 kg,162.28 cm,Low
7538,21,70,62.69 kg,168.31 cm,Average
7539,17,61,69.4 kg,150.15 cm,High
7540,40,32,79.06 kg,154.97 cm,Average
7541,15,72,52.82 kg,161.09 cm,Average
7542,20,47,73.9 kg,179.55 cm,Low
7543,49,,51.35 kg,164.08 cm,Average
7544,34,43,56.61 kg,171.01 cm,Low
7545,21,56,74.39 kg,161.29 cm,Average
7546,21,79,50.36 kg,150.63 cm,High
7547,17,91,63.53 kg,153.5 cm,Average
7548,28,70,56.72 kg,168.81 cm,High
7549,18,51,70.18 kg,157.15 cm,Low
7550,45,43,63.57 kg,159.18 cm,Average
7551,35,58,59.32 kg,163.64 cm,Average
7552,46,20,78.5 kg,168.99 cm,Low
7553,20,77,50.35 kg,170.92 cm,Average
7554,19,,61.43 kg,162.72 cm,High
7555,44,42,52.09 kg,157.95 cm,Low
7556,21,66,58.72 kg,168.11 cm,Average
7557,25,72,75.2 kg,161.28 cm,Average
7558,29,49,63.98 kg,162.67 cm,High
7559,,90,53.03 kg,163.32 cm,Average
7560,22,58,74.11 kg,172.58 cm,Average
7561,21,74,69.35 kg,158.3 cm,Average
7562,20,34,74.45 kg,162.14 cm,Average
7563,22,36,60.28 kg,167.77 cm,Low
7564,24,39,55.09 kg,164.35 cm,Low
7565,22,67,67.8 kg,172.94 cm,High
7566,23,65,71.15 kg,154.88 cm,Average
7567,21,76,75.71 kg,164.09 cm,High
7568,17,78,79.23 kg,170.12 cm,Average
7569,29,39,50.81 kg,161.59 cm,Low
7570,43,21,63.93 kg,177.66 cm,Average
7571,13,59,71.57 kg,156.54 cm,High
7572,13,55,70.77 kg,178.74 cm,High
7573,32,36,78.1 kg,153.1 cm,Average
7574,24,46,60.51 kg,158.24 cm,Average
7575,27,29,65.85 kg,173.74 cm,Average
7576,,77,62.84 kg,161.78 cm,High
7577,21,42,57.7 kg,168.74 cm,Average
7578,30,77,57.2 kg,151.14 cm,High
7579,31,50,69.75 kg,152.01 cm,Low
7580,48,33,68.59 kg,179.94 cm,Low
7581,26,36,61.47 kg,175.56 cm,Average
7582,15,47,51.97 kg,151.48 cm,Low
7583,45,35,,150.73 cm,Average
7584,21,51,76.2 kg,153.97 cm,High
7585,24,76,63.06 kg,157.46 cm,High
7586,22,72,72.29 kg,178.84 cm,Average
7587,24,63,60.31 kg,150.74 cm,High
7588,17,87,75.19 kg,153.81 cm,Average
7589,44,31,54.51 kg,172.98 cm,Low
7590,40,24,75.44 kg,162.55 cm,Average
7591,28,51,79.4 kg,173.64 cm,High
7592,21,69,75.61 kg,166.56 cm,High
7593,24,83,76.23 kg,177.67 cm,Average
7594,21,50,73.4 kg,175.66 cm,Average
7595,49,43,59.69 kg,169.38 cm,Average
7596,17,33,57.95 kg,151.46 cm,Low
7597,16,91,56.17 kg,161.32 cm,Average
7598,18,90,68.77 kg,161.71 cm,Average
7599,20,90,69.8 kg,161.66 cm,Average
7600,27,34,74.1 kg,154.09 cm,Average
7601,18,39,60.35 kg,169.33 cm,Average
7602,44,41,74.28 kg,162.22 cm,Average
7603,23,79,51.98 kg,158.56 cm,Average
7604,25,47,54.23 kg,175.64 cm,High
7605,32,35,68.83 kg,162.15 cm,Average
7606,20,30,54.59 kg,154.05 cm,Low
7607,21,43,57.69 kg,155.81 cm,High
7608,32,47,60.87 kg,155.84 cm,Average
7609,32,49,76.76 kg,165.05 cm,Low
7610,39,33,52.46 kg,158.52 cm,Average
7611,28,33,55.52 kg,175.62 cm,Low
7612,25,25,71.86 kg,175.64 cm,Low
7613,24,25,68.85 kg,172.98 cm,Average
7614,33,24,62.7 kg,158.09 cm,Low
7615,25,72,72.87 kg,173.01 cm,High
7616,16,47,68.27 kg,178.71 cm,High
7617,21,55,67.81 kg,171.69 cm,Average
7618,16,49,79.14 kg,172.33 cm,High
7619,40,,65.64 kg,176.62 cm,Average
7620,45,53,73.37 kg,154.81 cm,Average
7621,17,49,53.52 kg,166.89 cm,High
7622,24,47,63.76 kg,162.69 cm,Low
7623,29,57,70.83 kg,166.65 cm,High
7624,26,59,77.44 kg,179.24 cm,Average
7625,22,83,76.59 kg,164.15 cm,High
7626,32,44,78.39 kg,151.12 cm,Low
7627,22,48,66.31 kg,165.39 cm,Low
7628,12,91,66.09 kg,153.12 cm,High
7629,17,67,77.49 kg,162.96 cm,High
7630,18,78,55.6 kg,167.94 cm,High
7631,20,63,51.54 kg,170.23 cm,Average
7632,29,50,77.27 kg,153.07 cm,Average
7633,29,37,79.24 kg,154.68 cm,Low
7634,26,86,53.2 kg,154.51 cm,High
7635,16,74,50.81 kg,178.64 cm,High
7636,32,43,65.28 kg,158.19 cm,Average
7637,12,68,50.62 kg,162.95 cm,High
7638,41,20,66.37 kg,163.76 cm,Average
7639,12,98,67.57 kg,153.27 cm,Average
7640,18,71,66.88 kg,156.75 cm,High
7641,16,58,58.77 kg,156.33 cm,High
7642,24,94,76.61 kg,173.84 cm,High
7643,21,67,77.18 kg,167.39 cm,Average
7644,22,33,64.39 kg,171.55 cm,Low
7645,42,45,75.07 kg,173.4 cm,Low
7646,21,79,50.35 kg,164.86 cm,Average
7647,20,45,54.48 kg,162.84 cm,Low
7648,40,32,59.64 kg,151.1 cm,Average
7649,26,20,55.13 kg,176.92 cm,Low
7650,23,75,72.12 kg,166.41 cm,High
7651,19,87,67.87 kg,150.12 cm,High
7652,33,37,68.7 kg,176.86 cm,Low
7653,29,70,74.48 kg,179.5 cm,Average
7654,23,65,61.7 kg,173.46 cm,High
7655,44,37,78.34 kg,170.43 cm,Average
7656,29,76,53.55 kg,162.33 cm,High
7657,26,58,69.14 kg,153.42 cm,Average
7658,44,35,54.01 kg,179.57 cm,Average
7659,29,50,53.59 kg,163.87 cm,High
7660,38,28,70.98 kg,151.39 cm,Average
7661,21,27,70.49 kg,168.61 cm,Low
7662,41,26,65.53 kg,165.72 cm,Average
7663,29,40,63.71 kg,176.84 cm,High
7664,31,34,53.91 kg,175.89 cm,Average
7665,38,27,50.84 kg,172.1 cm,Average
7666,39,25,69.59 kg,162.09 cm,Low
7667,24,65,72.25 kg,157.73 cm,Average
7668,39,25,71.74 kg,172.22 cm,Average
7669,20,68,60.44 kg,152.31 cm,High
7670,13,62,73.3 kg,163.18 cm,Average
7671,38,17,65.76 kg,156.83 cm,Average
7672,36,27,53.19 kg,160.07 cm,Average
7673,24,27,63.88 kg,150.15 cm,Low
7674,23,77,73.71 kg,152.12 cm,High
7675,23,82,67.49 kg,162.14 cm,Average
7676,27,58,66.61 kg,161.01 cm,High
7677,41,29,52.54 kg,164.85 cm,Low
7678,27,52,76.01 kg,175.77 cm,High
7679,17,71,64.0 kg,170.54 cm,Average
7680,24,99,78.69 kg,157.93 cm,Average
7681,39,43,79.21 kg,177.6 cm,Average
7682,19,57,75.75 kg,151.45 cm,High
7683,45,35,53.81 kg,155.91 cm,Average
7684,43,17,72.42 kg,152.8 cm,Average
7685,30,34,60.37 kg,157.69 cm,Average
7686,21,85,56.72 kg,168.29 cm,High
7687,38,38,79.08 kg,173.94 cm,Low
7688,45,43,64.82 kg,156.55 cm,Low
7689,27,51,72.04 kg,172.92 cm,Average
7690,38,25,73.59 kg,175.43 cm,Average
7691,18,77,80.0 kg,174.35 cm,Average
7692,35,50,53.6 kg,,Average
7693,22,82,54.37 kg,150.09 cm,Average
7694,44,31,52.9 kg,179.57 cm,Low
7695,14,50,52.04 kg,152.53 cm,High
7696,42,47,63.12 kg,162.25 cm,Average
7697,21,47,66.72 kg,161.35 cm,Average
7698,21,80,68.93 kg,156.39 cm,High
7699,23,52,62.59 kg,156.44 cm,High
7700,24,48,60.01 kg,160.2 cm,Low
7701,21,78,66.65 kg,179.28 cm,High
7702,22,91,53.78 kg,172.15 cm,High
7703,20,54,77.3 kg,179.12 cm,High
7704,45,42,75.69 kg,152.54 cm,Low
7705,49,38,63.56 kg,164.5 cm,Average
7706,27,30,75.49 kg,161.87 cm,Average
7707,19,43,74.06 kg,162.27 cm,High
7708,38,58,78.48 kg,174.36 cm,Average
7709,35,44,74.9 kg,177.56 cm,Low
